weight,age,female,married,educ,kids,race,lfpart,empl,income,wageinc,ssretinc,intdivinc,busfarminc,capgainsinc,othinc,owner,rent,hpayday,bankrupt5y,latepay60d,creditapplied,creditdenied,takefinrisk,finknowledge,finlit,equity,finassets,liqassets,houses,business,vehicles,assets,networth,stocks,stkmutfnd,othresre,netnresre,othnfin,mortages,heloc,othloc,instloanveh,instloaneduc,instloanoth,ccbalance,debt,totloanpay
29386.26,39,0,1,2,2,1,1,1,80695.5,80695.5,0,0,0,0,0,1,0,0,0,0,,0,0,,,24863.6,31121,6257.3,176117.4,0,13882.2,221120.6,82091.4,0,24863.6,0,0,0,120174.2,6215.9,0,7251.9,0,0,5387.1,139029.2,1792.3
18.26501,52,0,1,3,0,3,1,2,9853349,2123566.6,0,2599245.5,11063782,9768.4,0,1,0,0,0,0,,0,2,,,189396678,220442036,19516918.6,2900757.6,55994981.1,121831.8,285399943.6,285399943.6,186477272.7,2196287.9,0,4831833.3,1108503.8,0,0,0,0,0,0,0,0,0
42308.82,43,0,1,4,3,1,1,1,97684.1,93436.9,0,169.9,1698.9,0,0,1,0,0,0,0,,0,0,,,0,65059.8,8080.7,254852.3,0,12846.2,332758.3,332758.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40491.03,46,0,1,3,2,1,1,1,101931.2,101931.2,0,212.4,0,0,0,1,0,0,0,0,,0,1,,,10359.8,73762.1,9323.9,290075.8,0,20926.9,384764.8,222322.3,0,0,0,0,0,151253.8,0,0,9738.3,0,0,1450.4,162442.4,2481.2
27458.26,69,0,1,3,0,1,0,3,53089.2,0,50965.6,2123.6,0,0,0,1,0,0,0,0,,0,1,,,0,316804.2,6423.1,248636.4,0,29629.2,595069.7,595069.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25180.71,47,1,0,3,0,1,1,1,40347.8,33977.1,0,6370.7,0,0,0,1,0,0,0,0,,0,0,,,29007.6,645833,121624.6,186477.3,0,0,833076.9,833076.9,0,0,766.6,0,0,0,0,0,0,0,0,0,0,0
53505.59,79,0,1,1,0,1,0,3,18262.7,0,16563.8,0,0,0,0,1,0,0,0,0,,0,0,,,0,0,0,232060.6,0,7251.9,239312.5,239312.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36357.24,39,0,1,4,3,1,1,1,203862.4,203862.4,0,148.6,95560.5,0,11042.5,0,3108,0,0,0,,1,1,,,0,63195.1,38331.4,0,20719.7,23724.1,107638.8,100594.1,0,0,0,0,0,0,0,0,0,0,0,828.8,7044.7,53.4
45661.76,50,0,1,3,2,1,1,1,70077.7,63707,20386.2,764.5,0,0,0,1,0,0,0,0,,0,0,,,20512.5,32115.5,9945.5,113958.3,0,32322.7,192900.4,144064.1,20512.5,0,0,0,14503.8,39367.4,0,0,6837.5,0,0,2113.4,48836.3,1192.4
98.97206,59,0,1,4,0,1,1,2,959852.1,322782.1,0,138031.8,371624.2,127414,0,1,0,0,0,0,,0,2,,,3304791.7,6227097.7,517992.4,621590.9,27764393.9,74590.9,37246556.1,37194756.8,3107954.5,72518.9,1947651.5,404034.1,207197,51799.2,0,0,0,0,0,0,51799.2,4143.9
29259.35,78,1,0,3,0,1,0,3,93436.9,0,27606.4,64768.8,0,0,0,1,0,0,0,0,,0,0,,,186477.3,376684.1,190206.8,145037.9,0,22791.7,662615.9,662615.9,186477.3,0,103598.5,4143.9,10359.8,0,0,0,0,0,0,0,0,0
36066.17,70,1,0,1,0,1,0,3,16139.1,0,15077.3,0,0,0,1061.8,1,0,0,0,0,,0,0,,,0,2.1,2.1,51799.2,0,6423.1,58224.4,45792.6,0,0,0,0,0,8287.9,0,0,0,0,4143.9,0,12431.8,373
3011.001,32,0,1,4,0,1,1,2,318535,59459.9,0,10617.8,522397.4,0,0,1,0,0,0,0,,1,1,,,82878.8,323496.6,85220.1,776988.6,1450378.8,15332.6,3208507.2,2663786.4,82878.8,0,0,621590.9,20719.7,538712.1,0,0,4972.7,0,0,1036,544720.8,5454.5
36997.22,36,0,0,1,0,3,1,4,23359.2,23359.2,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,1222.5,1222.5,-849.5,0,0,0,0,0,0,0,0,0,0,2072,0,2072,62.2
35286.94,49,1,0,2,1,2,0,3,12316.7,0,0,0,0,0,12316.7,0,828.8,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
